id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG0,False,7,8,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG1,False,15,19,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG2,False,5,15,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG3,False,32,33,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG4,False,34,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG5,False,37,39,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG6,False,27,33,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG7,False,21,23,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG8,False,24,26,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG9,False,38,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG10,False,29,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG11,False,36,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG12,False,2,6,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG13,False,6,13,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG14,False,10,16,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG15,False,10,19,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG16,False,35,37,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG17,False,20,21,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG18,False,2,8,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG19,False,36,39,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG20,False,31,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG21,False,16,19,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG22,False,35,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG23,False,8,17,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG24,False,27,37,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG25,False,35,36,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG26,False,7,16,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG27,False,27,30,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG28,False,16,25,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG29,False,19,28,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG30,False,34,39,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG31,False,7,13,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG32,False,3,7,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG33,False,31,33,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG34,False,8,16,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG35,False,34,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG36,False,23,31,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG37,False,14,16,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG38,False,37,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG39,False,4,5,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG40,False,4,5,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG41,False,4,13,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG42,False,36,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG43,False,12,14,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG44,False,27,33,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG45,False,29,30,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG46,False,3,10,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG47,False,12,16,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
