user_id,time,sat,channel,data_rate
82,0,STARLINK-6186,0,223.3181288055333
82,1,STARLINK-30546,23,98.23094708888031
82,2,STARLINK-30546,23,148.600673269333
82,3,STARLINK-30546,23,226.22537493254632
82,4,STARLINK-34163,19,224.29371227179288
82,5,STARLINK-34163,19,111.43515714687878
82,6,STARLINK-34163,19,215.8363270571883
82,7,STARLINK-34163,19,220.06663698522055
82,8,STARLINK-33918,19,178.50458061737035
82,9,STARLINK-33918,19,117.59479999031954
82,10,STARLINK-33918,19,133.38799190134003
82,11,STARLINK-4028,8,1.4844711203337426
84,0,STARLINK-6186,10,223.3181288055333
84,1,STARLINK-3701,18,127.88538451418653
84,2,STARLINK-3701,18,213.0314472243857
84,3,STARLINK-3701,18,172.16741798908654
84,4,STARLINK-33875,19,31.624842671195935
84,5,STARLINK-33875,19,69.5916080017671
84,6,STARLINK-33875,19,101.11043096139385
84,7,STARLINK-4158,3,253.6270181154059
84,8,STARLINK-4158,3,227.64986938518734
84,9,STARLINK-4158,3,159.13918305240844
84,10,STARLINK-33918,4,133.38799190134003
80,0,STARLINK-31858,11,256.5950597279211
80,1,STARLINK-2575,10,144.61703384211927
80,2,STARLINK-2575,10,59.27947166809473
80,3,STARLINK-2575,22,221.84939389905236
80,4,STARLINK-2575,22,178.2264973921312
80,5,STARLINK-31353,18,218.34652028905597
80,6,STARLINK-31353,18,70.72261942232937
80,7,STARLINK-4158,9,253.6270181154059
80,8,STARLINK-4158,9,227.64921962474656
80,9,STARLINK-34160,19,104.61790746344593
80,10,STARLINK-34160,19,89.55684772254442
80,11,STARLINK-34160,24,156.20554618628245
81,0,STARLINK-31858,11,256.5950597279211
81,1,STARLINK-2575,23,150.60637048074747
81,2,STARLINK-2575,23,56.74778667254818
81,3,STARLINK-2575,23,69.23864015388568
81,4,STARLINK-5086,19,66.59102569403733
81,5,STARLINK-5086,19,76.19043893159478
81,6,STARLINK-34163,20,215.8363270571883
81,7,STARLINK-34163,20,220.06663698522055
81,8,STARLINK-33873,10,213.82524105433816
81,9,STARLINK-33873,10,265.1755970953197
81,10,STARLINK-34160,14,179.2182634904105
81,11,STARLINK-34160,14,156.20554618628245
83,0,STARLINK-6186,1,223.3181288055333
83,1,STARLINK-5163,23,38.20203822113548
83,2,STARLINK-5163,23,37.23492680897351
83,3,STARLINK-5163,23,22.502813539673
83,4,STARLINK-5163,23,77.93811527245059
83,5,STARLINK-30955,9,30.259934792523023
83,6,STARLINK-30955,9,53.60275219382393
83,7,STARLINK-30955,9,47.39597860726056
83,8,STARLINK-33918,3,47.879353403510436
83,9,STARLINK-33918,3,42.55234480629698
83,10,STARLINK-33918,3,133.35019404053628
83,11,STARLINK-4028,11,1.4844711203337426
83,12,STARLINK-4028,11,4.156939426252763
85,1,STARLINK-2575,15,229.342602519252
85,2,STARLINK-31858,13,269.9368814488134
85,3,STARLINK-31858,13,184.6496098230896
85,4,STARLINK-5086,3,242.40721086031164
85,5,STARLINK-5086,3,47.98699017721445
85,6,STARLINK-4158,5,245.26433732702935
85,7,STARLINK-4158,5,253.6270181154059
85,8,STARLINK-33873,13,213.82524105433816
85,9,STARLINK-33873,13,265.1822110758541
85,10,STARLINK-34160,23,179.2182634904105
85,11,STARLINK-34160,23,156.19923782186615
85,12,STARLINK-31678,1,278.9044845508116
85,13,STARLINK-31678,1,144.63434954856646
86,1,STARLINK-2575,5,229.34284927074907
86,2,STARLINK-31858,12,269.9133738007259
86,3,STARLINK-31858,12,184.6496098230896
86,4,STARLINK-32001,21,220.1173080660591
86,5,STARLINK-32001,21,158.2294542603605
86,6,STARLINK-30955,15,205.822950137763
86,7,STARLINK-30955,15,198.24604732567303
86,8,STARLINK-33873,0,213.82497998105168
86,9,STARLINK-33873,0,265.1822110758541
86,10,STARLINK-34165,14,31.175098834678245
86,11,STARLINK-34165,14,50.273062930133456
86,12,STARLINK-31678,20,278.9044845508116
88,1,STARLINK-5163,8,170.67285847598612
88,2,STARLINK-3701,8,213.0218272392189
88,3,STARLINK-3701,8,172.16741798908654
88,4,STARLINK-5086,21,83.66547952664024
88,5,STARLINK-5086,21,87.75643864598077
88,6,STARLINK-4158,8,245.26433732702935
88,7,STARLINK-4158,8,253.6270181154059
88,8,STARLINK-33873,0,213.82497998105168
88,9,STARLINK-33873,0,265.1822110758541
88,10,STARLINK-34160,17,179.2182634904105
88,11,STARLINK-34160,17,156.20554618628245
89,1,STARLINK-5163,12,117.58406720099521
89,2,STARLINK-31858,0,152.02798447946395
89,3,STARLINK-31858,0,128.6009824652925
89,4,STARLINK-5086,17,242.40721086031164
89,5,STARLINK-5086,17,196.49593542695874
89,6,STARLINK-34163,4,173.18185780851746
89,7,STARLINK-34163,4,119.46919814614151
89,8,STARLINK-33873,10,213.82524105433816
89,9,STARLINK-33873,10,265.1755970953197
89,10,STARLINK-34160,6,179.2182634904105
89,11,STARLINK-34160,6,156.20554618628245
89,12,STARLINK-31678,10,278.9044845508116
87,1,STARLINK-31701,2,155.5665619328112
87,2,STARLINK-31701,2,154.4741150063482
87,3,STARLINK-31910,9,178.7601101302787
87,4,STARLINK-31910,9,154.51261894696563
87,5,STARLINK-31910,9,28.472053025115834
87,6,STARLINK-31910,9,17.767513720399762
87,7,STARLINK-4158,19,74.1037407868725
87,8,STARLINK-4158,19,80.82003104986752
87,9,STARLINK-4158,19,41.5351736161295
87,10,STARLINK-34160,7,179.2182634904105
87,11,STARLINK-34160,7,156.20554618628245
66,6,STARLINK-33875,7,149.49174678776856
66,7,STARLINK-4158,2,145.73703433217491
66,8,STARLINK-4158,2,97.0213131671117
66,9,STARLINK-34165,2,56.76147079962608
66,10,STARLINK-34165,2,43.77909190626182
66,11,STARLINK-34160,24,156.20554618628245
66,12,STARLINK-34160,24,136.1140463466329
66,13,STARLINK-31744,16,171.19275329742396
66,14,STARLINK-31744,16,123.66674611269676
66,15,STARLINK-33717,3,194.1708778534861
66,16,STARLINK-33717,3,198.85771955652712
66,17,STARLINK-31771,18,221.95086259271693
65,6,STARLINK-33875,10,275.69957188996796
65,7,STARLINK-32001,18,138.56300608579224
65,8,STARLINK-32001,18,75.90775976062395
65,9,STARLINK-34165,11,117.16088381245169
65,10,STARLINK-34165,11,104.13553386313372
65,11,STARLINK-34160,11,155.10642964838166
65,12,STARLINK-34160,11,133.25130523052832
65,13,STARLINK-31744,11,170.3962239561318
65,14,STARLINK-31744,11,123.66674611269676
65,15,STARLINK-33717,19,194.1708778534861
65,16,STARLINK-33717,19,98.5978639625192
69,6,STARLINK-5860,14,100.16759763929052
69,7,STARLINK-5860,14,77.71104600525379
69,8,STARLINK-5860,14,49.69553404485897
69,9,STARLINK-34165,13,18.794124107596215
69,10,STARLINK-34165,13,104.13442858024924
69,11,STARLINK-34165,13,131.05845646596333
69,12,STARLINK-32190,0,82.0934025760746
69,13,STARLINK-32190,0,110.56830245185355
69,14,STARLINK-32190,0,179.67551878738522
69,15,STARLINK-32190,0,73.70379724682542
69,16,STARLINK-5950,11,141.54863632962972
69,17,STARLINK-5950,11,164.71356654207005
67,6,STARLINK-33875,22,275.69957188996796
67,7,STARLINK-5860,11,77.71103581225655
67,8,STARLINK-5860,11,49.69549711321595
67,9,STARLINK-33918,20,117.59479999031954
67,10,STARLINK-33918,20,133.38252229492574
67,11,STARLINK-34160,20,156.20554618628245
67,12,STARLINK-34160,20,21.135884389427364
67,13,STARLINK-31744,3,171.21336583456807
67,14,STARLINK-31744,3,37.91767025891446
67,15,STARLINK-33717,14,194.1708778534861
67,16,STARLINK-33717,14,198.85771955652712
67,17,STARLINK-31771,11,101.13975932405768
68,6,STARLINK-33875,20,101.11043096139385
68,7,STARLINK-32001,19,36.772511346279494
68,8,STARLINK-32001,19,27.809427368417083
68,9,STARLINK-34165,19,19.010804725819263
68,10,STARLINK-34165,19,22.22109674303836
68,11,STARLINK-34160,19,156.20554618628245
68,12,STARLINK-34160,19,136.11114112531723
68,13,STARLINK-31744,24,171.21336583456807
68,14,STARLINK-31744,24,123.66674611269676
68,15,STARLINK-33717,19,194.1708778534861
68,16,STARLINK-33717,19,98.5978639625192
71,7,STARLINK-4158,15,102.77663163045763
71,8,STARLINK-4158,15,227.63721526890086
71,9,STARLINK-33918,9,42.552220134447765
71,10,STARLINK-33918,9,133.34998831616585
71,11,STARLINK-34160,9,156.20386984498458
71,12,STARLINK-34160,9,136.1140463466329
71,13,STARLINK-31744,2,170.39642529055453
71,14,STARLINK-31744,2,123.66674611269676
71,15,STARLINK-33717,2,194.1708778534861
71,16,STARLINK-33717,2,198.85771955652712
71,17,STARLINK-31771,18,221.95086259271693
71,18,STARLINK-31771,18,274.7894376205075
71,19,STARLINK-3752,20,278.0020917109305
72,7,STARLINK-4158,24,145.73703432949804
72,8,STARLINK-33873,19,29.50904583234979
72,9,STARLINK-33873,19,90.65312559133052
72,10,STARLINK-34165,1,104.13570829717838
72,11,STARLINK-34165,1,131.05399895350138
72,12,STARLINK-31678,9,163.92632259360602
72,13,STARLINK-31678,9,75.39585347846698
72,14,STARLINK-30906,21,172.3886099563213
72,15,STARLINK-30906,21,129.81832889948433
72,16,STARLINK-31457,7,223.95027728322813
72,17,STARLINK-31457,7,137.0293409416647
70,7,STARLINK-32001,13,54.81036381188209
70,8,STARLINK-33873,7,92.89964428614314
70,9,STARLINK-33873,7,117.14818080348907
70,10,STARLINK-34165,16,104.12603740033924
70,11,STARLINK-34165,16,130.95208287213288
70,12,STARLINK-31678,14,163.91397080495142
70,13,STARLINK-31678,14,75.39209090106819
70,14,STARLINK-32190,6,179.67593968068607
70,15,STARLINK-32190,6,73.70379724682542
70,16,STARLINK-6116,23,212.85040892442328
70,17,STARLINK-6116,23,158.1789055442893
73,7,STARLINK-5860,22,209.23857284820173
73,8,STARLINK-5860,22,128.8768363165094
73,9,STARLINK-34165,3,30.861201323615767
73,10,STARLINK-34165,3,43.77360833108103
73,11,STARLINK-34165,3,131.0582943544216
73,12,STARLINK-32190,18,82.0934025760746
73,13,STARLINK-32190,18,110.56830245185355
73,14,STARLINK-32190,18,179.67593968068607
73,15,STARLINK-31457,16,147.9881643147195
73,16,STARLINK-31457,16,223.95027728322813
73,17,STARLINK-31457,16,137.03046558207353
74,7,STARLINK-32001,10,230.01980506415654
74,8,STARLINK-33873,4,72.93430795380928
74,9,STARLINK-33873,4,166.46658884841824
74,10,STARLINK-34160,1,106.25765402791035
74,11,STARLINK-34160,1,75.41914046294276
74,12,STARLINK-31678,15,275.12461849373346
74,13,STARLINK-31678,15,143.8800688073683
74,14,STARLINK-32190,8,179.67593968068607
74,15,STARLINK-32190,8,73.70379724682542
74,16,STARLINK-6116,16,65.55106713207192
74,17,STARLINK-6116,16,78.99474305504248
74,18,STARLINK-5158,21,344.0923239285894
74,19,STARLINK-5158,21,165.65040409548837
45,8,STARLINK-33873,15,64.45526857219055
45,9,STARLINK-33918,15,42.55234480629698
45,10,STARLINK-33918,15,133.38252229492574
45,11,STARLINK-34160,9,156.20386984498458
45,12,STARLINK-34160,9,21.135884389427364
45,13,STARLINK-31744,21,171.21336583456807
45,14,STARLINK-31744,21,41.36876254285593
45,15,STARLINK-33717,16,91.764567636869
45,16,STARLINK-33717,16,36.71665384291217
45,17,STARLINK-31771,20,221.95086259271693
45,18,STARLINK-31771,20,274.7894376205075
45,19,STARLINK-3752,15,278.0020917109305
45,20,STARLINK-3752,15,226.56507526784534
46,8,STARLINK-31353,14,42.29323155270986
46,9,STARLINK-34165,0,117.16195305550916
46,10,STARLINK-34165,0,104.13570829717838
46,11,STARLINK-34165,0,131.05818896120357
46,12,STARLINK-32190,7,31.932644424946577
46,13,STARLINK-32190,7,53.66820280375245
46,14,STARLINK-32190,7,179.67593968068607
46,15,STARLINK-31457,18,99.85043882861461
46,16,STARLINK-31457,18,223.9501295041546
46,17,STARLINK-31457,18,137.03046558207353
46,18,STARLINK-30069,20,50.61799945165081
47,8,STARLINK-33918,0,78.13880680426344
47,9,STARLINK-33918,0,57.19431773443648
47,10,STARLINK-33918,0,73.03137551042347
47,11,STARLINK-4028,7,0.3853545824329398
47,12,STARLINK-4028,7,0.9827188202098411
47,13,STARLINK-4028,7,0.24558316961166163
47,14,STARLINK-30906,14,61.21629327240355
47,15,STARLINK-30906,14,37.729397812917604
47,16,STARLINK-30906,14,112.83991818813871
47,17,STARLINK-31001,8,135.64043195298854
47,18,STARLINK-31001,8,185.635901002257
47,19,STARLINK-31001,8,185.54185529535056
48,8,STARLINK-4158,18,73.5146976998567
48,9,STARLINK-33918,18,117.59479999031954
48,10,STARLINK-33918,18,133.38799190134003
48,11,STARLINK-34160,16,75.39598482536077
48,12,STARLINK-34160,16,136.01371783723116
48,13,STARLINK-31744,0,96.50944504197331
48,14,STARLINK-31744,0,39.22158722351026
48,15,STARLINK-33717,13,194.1708778534861
48,16,STARLINK-33717,13,198.8377073752875
48,17,STARLINK-31771,13,221.94996348597138
48,18,STARLINK-31771,13,274.7894376205075
49,8,STARLINK-33873,20,72.93625401251221
49,9,STARLINK-34165,12,117.16092950557854
49,10,STARLINK-34165,12,104.1249323325236
49,11,STARLINK-34160,15,155.10617989933596
49,12,STARLINK-34160,15,21.0728711358834
49,13,STARLINK-31744,18,96.50944504197331
49,14,STARLINK-31744,18,39.22161961655553
49,15,STARLINK-33717,12,194.1708778534861
49,16,STARLINK-33717,12,198.83819567951014
49,17,STARLINK-31771,8,118.96945679617617
49,18,STARLINK-31771,8,125.43448324778414
49,19,STARLINK-3752,1,278.0020917109305
49,20,STARLINK-3752,1,226.56507526784534
30,9,STARLINK-33873,11,96.4923190354366
30,10,STARLINK-34165,17,31.175098834678245
30,11,STARLINK-34165,17,50.273062930133456
30,12,STARLINK-31678,7,139.86611969250006
30,13,STARLINK-31678,7,52.63212446412816
30,14,STARLINK-30906,11,90.09062638648048
30,15,STARLINK-30906,11,129.81773097102212
30,16,STARLINK-31457,5,213.48208295431928
30,17,STARLINK-31457,5,129.07880510671768
30,18,STARLINK-5158,8,94.29277344711994
30,19,STARLINK-5158,8,57.1909194087911
30,20,STARLINK-3752,14,226.56507526784534
31,9,STARLINK-33873,7,117.14818080348907
31,10,STARLINK-34165,10,104.13570829717838
31,11,STARLINK-34165,10,131.05286239411205
31,12,STARLINK-31678,0,207.02151168228548
31,13,STARLINK-31678,0,40.13641804362338
31,14,STARLINK-32190,9,179.67593968068607
31,15,STARLINK-32190,9,25.566071760720536
31,16,STARLINK-6116,23,212.85040892442328
31,17,STARLINK-6116,23,158.1789055442893
31,18,STARLINK-5158,21,344.0923239285894
31,19,STARLINK-5158,21,165.65040409548837
32,9,STARLINK-33873,22,117.14818080348907
32,10,STARLINK-34165,19,43.77909190626182
32,11,STARLINK-34165,19,131.05845646596333
32,12,STARLINK-31678,0,207.02151168228548
32,13,STARLINK-31678,0,40.13641804362338
32,14,STARLINK-30906,15,172.38853675699838
32,15,STARLINK-30906,15,129.81385612033466
32,16,STARLINK-31457,5,213.48208295431928
32,17,STARLINK-31457,5,129.07880510671768
32,18,STARLINK-5158,12,344.0681795974798
32,19,STARLINK-5158,12,165.65482250548038
33,9,STARLINK-33873,22,117.14818080348907
33,10,STARLINK-34165,4,43.77909190626182
33,11,STARLINK-34165,4,131.05845627237184
33,12,STARLINK-31678,10,278.9044845508116
33,13,STARLINK-31678,10,144.63434954856646
33,14,STARLINK-30906,6,63.12805236119538
33,15,STARLINK-30906,6,85.52578021962529
33,16,STARLINK-6116,4,212.8497774327002
33,17,STARLINK-6116,4,166.1934001696808
33,18,STARLINK-5158,17,282.14862833562603
33,19,STARLINK-5158,17,47.17655306361108
