id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG0,False,7,8,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG1,False,15,19,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG2,False,5,15,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG3,False,32,33,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG4,False,34,38,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG5,False,37,39,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG6,False,27,33,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG7,False,21,23,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG8,False,24,26,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG9,False,38,40,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG10,False,29,38,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG11,False,36,38,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG12,False,2,6,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG13,False,6,13,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG14,False,10,16,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG15,False,10,19,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG16,False,35,37,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG17,False,20,21,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG18,False,2,8,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG19,False,36,39,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG20,False,31,38,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG21,False,16,19,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG22,False,35,40,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG23,False,8,17,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG24,False,27,37,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG25,False,35,36,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG26,False,7,16,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG27,False,27,30,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG28,False,16,25,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG29,False,19,28,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
BG30,False,34,39,ga_W2_users300_alpha0,0,stick_until_invisible,2025-09-14T19:18:31
