user_id,path,t_begin,t_end,success,reward
80,"[('STARLINK-31858', 5, 0), ('STARLINK-2575', 2, 1), ('STARLINK-2575', 2, 2), ('STARLINK-2575', 2, 3), ('STARLINK-5086', 17, 4), ('STARLINK-5086', 17, 5), ('STARLINK-5086', 17, 6), ('STARLINK-4158', 4, 7), ('STARLINK-4158', 4, 8), ('STARLINK-4158', 4, 9), ('STARLINK-34160', 23, 10), ('STARLINK-34160', 23, 11)]",0,11,True,
84,"[('STARLINK-31858', 18, 0), ('STARLINK-2575', 18, 1), ('STARLINK-2575', 18, 2), ('STARLINK-2575', 18, 3), ('STARLINK-5086', 5, 4), ('STARLINK-5086', 5, 5), ('STARLINK-5086', 5, 6), ('STARLINK-4158', 23, 7), ('STARLINK-4158', 23, 8), ('STARLINK-4158', 23, 9), ('STARLINK-34160', 19, 10)]",0,10,True,
82,"[('STARLINK-31858', 23, 0), ('STARLINK-31858', 23, 1), ('STARLINK-31858', 23, 2), ('STARLINK-31858', 23, 3), ('STARLINK-32001', 20, 4), ('STARLINK-32001', 20, 5), ('STARLINK-32001', 20, 6), ('STARLINK-32001', 20, 7), ('STARLINK-32001', 20, 8), ('STARLINK-34165', 7, 9), ('STARLINK-34165', 7, 10), ('STARLINK-34165', 7, 11)]",0,11,True,
81,"[('STARLINK-31858', 20, 0), ('STARLINK-31858', 20, 1), ('STARLINK-31858', 20, 2), ('STARLINK-31858', 20, 3), ('STARLINK-34163', 18, 4), ('STARLINK-34163', 18, 5), ('STARLINK-34163', 18, 6), ('STARLINK-34163', 18, 7), ('STARLINK-34165', 18, 8), ('STARLINK-34165', 18, 9), ('STARLINK-34165', 18, 10), ('STARLINK-34165', 18, 11)]",0,11,True,
83,"[('STARLINK-31858', 10, 0), ('STARLINK-2575', 2, 1), ('STARLINK-2575', 2, 2), ('STARLINK-2575', 2, 3), ('STARLINK-5086', 19, 4), ('STARLINK-5086', 19, 5), ('STARLINK-5086', 19, 6), ('STARLINK-4158', 21, 7), ('STARLINK-4158', 21, 8), ('STARLINK-4158', 21, 9), ('STARLINK-34160', 0, 10), ('STARLINK-34160', 0, 11), ('STARLINK-34160', 0, 12)]",0,12,True,
89,"[('STARLINK-2575', 12, 1), ('STARLINK-33875', 15, 2), ('STARLINK-33875', 15, 3), ('STARLINK-33875', 15, 4), ('STARLINK-31353', 10, 5), ('STARLINK-31353', 10, 6), ('STARLINK-31353', 10, 7), ('STARLINK-33918', 22, 8), ('STARLINK-33918', 22, 9), ('STARLINK-33918', 22, 10), ('STARLINK-34160', 13, 11), ('STARLINK-34160', 13, 12)]",1,12,True,
86,"[('STARLINK-2575', 20, 1), ('STARLINK-2575', 20, 2), ('STARLINK-2575', 20, 3), ('STARLINK-34163', 20, 4), ('STARLINK-34163', 20, 5), ('STARLINK-34163', 20, 6), ('STARLINK-34163', 20, 7), ('STARLINK-34165', 14, 8), ('STARLINK-34165', 14, 9), ('STARLINK-34165', 14, 10), ('STARLINK-34165', 14, 11), ('STARLINK-31678', 1, 12)]",1,12,True,
87,"[('STARLINK-2575', 7, 1), ('STARLINK-5086', 24, 2), ('STARLINK-5086', 24, 3), ('STARLINK-5086', 24, 4), ('STARLINK-5086', 24, 5), ('STARLINK-33873', 20, 6), ('STARLINK-33873', 20, 7), ('STARLINK-33873', 20, 8), ('STARLINK-33873', 20, 9), ('STARLINK-34165', 6, 10), ('STARLINK-34165', 6, 11)]",1,11,True,
85,"[('STARLINK-2575', 1, 1), ('STARLINK-33875', 20, 2), ('STARLINK-33875', 20, 3), ('STARLINK-33875', 20, 4), ('STARLINK-31353', 18, 5), ('STARLINK-31353', 18, 6), ('STARLINK-31353', 18, 7), ('STARLINK-33918', 18, 8), ('STARLINK-33918', 18, 9), ('STARLINK-33918', 18, 10), ('STARLINK-34160', 12, 11), ('STARLINK-34160', 12, 12), ('STARLINK-34160', 12, 13)]",1,13,True,
88,"[('STARLINK-5163', 23, 1), ('STARLINK-5163', 23, 2), ('STARLINK-5163', 23, 3), ('STARLINK-5163', 23, 4), ('STARLINK-4158', 14, 5), ('STARLINK-4158', 14, 6), ('STARLINK-4158', 14, 7), ('STARLINK-4158', 14, 8), ('STARLINK-4158', 14, 9), ('STARLINK-34165', 8, 10), ('STARLINK-34165', 8, 11)]",1,11,True,
