id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG0,False,7,8,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG1,False,15,19,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG2,True,5,15,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG3,False,32,33,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG4,False,34,38,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG5,False,37,39,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG6,False,27,33,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG7,False,21,23,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG8,False,24,26,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG9,False,38,40,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG10,False,29,38,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG11,False,36,38,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG12,False,2,6,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG13,True,6,13,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG14,False,10,16,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG15,False,10,19,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG16,False,35,37,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG17,False,20,21,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG18,False,2,8,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG19,False,36,39,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG20,False,31,38,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG21,False,16,19,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG22,False,35,40,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG23,True,8,17,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG24,False,27,37,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG25,False,35,36,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG26,False,7,16,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG27,False,27,30,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG28,False,16,25,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG29,False,19,28,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG30,False,34,39,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG31,False,7,13,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG32,False,3,7,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG33,False,31,33,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG34,False,8,16,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG35,False,34,40,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG36,False,23,31,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG37,False,14,16,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG38,False,37,40,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG39,False,4,5,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG40,False,4,5,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
BG41,False,4,13,greedy_W3_users110_alpha1,0,stick_until_invisible,2025-09-06T00:53:23
