user_id,path,t_begin,t_end,success,reward
0,"[('STARLINK-4279', 3, 28), ('STARLINK-4279', 3, 29), ('STARLINK-32191', 10, 30), ('STARLINK-32191', 10, 31), ('STARLINK-5195', 1, 32), ('STARLINK-5195', 1, 33), ('STARLINK-33856', 21, 34), ('STARLINK-33856', 21, 35), ('STARLINK-30984', 15, 36), ('STARLINK-30984', 15, 37), ('STARLINK-34122', 9, 38), ('STARLINK-34122', 9, 39)]",28,39,True,1584.9240054866218
1,"[('STARLINK-3749', 3, 28), ('STARLINK-3749', 3, 29), ('STARLINK-32191', 16, 30), ('STARLINK-32191', 16, 31), ('STARLINK-5195', 22, 32), ('STARLINK-5195', 22, 33), ('STARLINK-30984', 21, 34), ('STARLINK-30984', 21, 35), ('STARLINK-30984', 17, 36), ('STARLINK-34078', 17, 37), ('STARLINK-34078', 17, 38), ('STARLINK-31339', 2, 39)]",28,39,True,2024.6347562306744
2,"[('STARLINK-2606', 3, 28), ('STARLINK-2606', 3, 29), ('STARLINK-32191', 0, 30), ('STARLINK-32191', 0, 31), ('STARLINK-5195', 13, 32), ('STARLINK-5195', 13, 33), ('STARLINK-33856', 9, 34), ('STARLINK-33856', 9, 35), ('STARLINK-30984', 22, 36), ('STARLINK-30984', 22, 37), ('STARLINK-34122', 10, 38)]",28,38,True,1257.8145973495953
3,"[('STARLINK-3749', 20, 28), ('STARLINK-3749', 20, 29), ('STARLINK-32191', 22, 30), ('STARLINK-32191', 22, 31), ('STARLINK-30985', 10, 32), ('STARLINK-30985', 10, 33), ('STARLINK-33856', 19, 34), ('STARLINK-33856', 19, 35), ('STARLINK-3557', 0, 36), ('STARLINK-3557', 0, 37), ('STARLINK-31339', 11, 38), ('STARLINK-31339', 11, 39)]",28,39,True,1462.0610043590134
4,"[('STARLINK-4279', 20, 28), ('STARLINK-4279', 20, 29), ('STARLINK-32191', 15, 30), ('STARLINK-32191', 15, 31), ('STARLINK-30985', 7, 32), ('STARLINK-30985', 7, 33), ('STARLINK-30984', 19, 34), ('STARLINK-30984', 19, 35), ('STARLINK-3557', 16, 36), ('STARLINK-3557', 16, 37), ('STARLINK-31339', 21, 38), ('STARLINK-31339', 21, 39)]",28,39,True,1327.3389217676604
5,"[('STARLINK-6211', 19, 27), ('STARLINK-6211', 19, 28), ('STARLINK-5287', 2, 29), ('STARLINK-5287', 2, 30), ('STARLINK-5176', 17, 31), ('STARLINK-5176', 17, 32), ('STARLINK-30300', 16, 33), ('STARLINK-30300', 16, 34), ('STARLINK-34078', 19, 35), ('STARLINK-34078', 19, 36), ('STARLINK-34078', 4, 37), ('STARLINK-31339', 4, 38)]",27,38,True,2128.7193477214373
6,"[('STARLINK-6211', 2, 27), ('STARLINK-6211', 2, 28), ('STARLINK-5287', 17, 29), ('STARLINK-5287', 17, 30), ('STARLINK-30991', 17, 31), ('STARLINK-30991', 17, 32), ('STARLINK-30300', 4, 33), ('STARLINK-30300', 4, 34), ('STARLINK-34078', 20, 35), ('STARLINK-34078', 20, 36), ('STARLINK-34078', 6, 37)]",27,37,True,1964.7182680842213
7,"[('STARLINK-6211', 12, 27), ('STARLINK-6211', 12, 28), ('STARLINK-5287', 23, 29), ('STARLINK-5287', 23, 30), ('STARLINK-30535', 17, 31), ('STARLINK-30535', 17, 32), ('STARLINK-30300', 12, 33), ('STARLINK-30300', 12, 34), ('STARLINK-34078', 21, 35), ('STARLINK-34078', 21, 36), ('STARLINK-34078', 7, 37), ('STARLINK-31339', 7, 38)]",27,38,True,2104.718617562126
8,"[('STARLINK-6211', 10, 27), ('STARLINK-6211', 10, 28), ('STARLINK-5287', 5, 29), ('STARLINK-5287', 5, 30), ('STARLINK-5176', 8, 31), ('STARLINK-5176', 8, 32), ('STARLINK-30300', 10, 33), ('STARLINK-30300', 10, 34), ('STARLINK-34078', 3, 35), ('STARLINK-34078', 3, 36), ('STARLINK-34078', 8, 37)]",27,37,True,1883.4348575257695
9,"[('STARLINK-6211', 20, 27), ('STARLINK-6211', 20, 28), ('STARLINK-5287', 8, 29), ('STARLINK-5287', 8, 30), ('STARLINK-5176', 18, 31), ('STARLINK-5176', 18, 32), ('STARLINK-30300', 11, 33), ('STARLINK-30300', 11, 34), ('STARLINK-34078', 10, 35), ('STARLINK-34078', 10, 36), ('STARLINK-34078', 13, 37), ('STARLINK-34122', 8, 38)]",27,38,True,1980.3252224167834
10,"[('STARLINK-5158', 1, 22), ('STARLINK-5158', 1, 23), ('STARLINK-30603', 1, 24), ('STARLINK-30603', 1, 25), ('STARLINK-31483', 4, 26), ('STARLINK-31483', 4, 27), ('STARLINK-31483', 23, 28), ('STARLINK-5287', 12, 29), ('STARLINK-5287', 12, 30), ('STARLINK-30991', 7, 31), ('STARLINK-30991', 7, 32), ('STARLINK-30300', 1, 33), ('STARLINK-30300', 1, 34)]",22,34,True,2844.1144101775612
11,"[('STARLINK-5158', 8, 22), ('STARLINK-5158', 8, 23), ('STARLINK-30603', 10, 24), ('STARLINK-30603', 10, 25), ('STARLINK-31483', 23, 26), ('STARLINK-31483', 23, 27), ('STARLINK-31483', 15, 28), ('STARLINK-5287', 22, 29), ('STARLINK-5287', 22, 30), ('STARLINK-30991', 11, 31), ('STARLINK-30991', 11, 32), ('STARLINK-30300', 3, 33)]",22,33,True,2420.4946514287735
12,"[('STARLINK-5158', 10, 22), ('STARLINK-5158', 10, 23), ('STARLINK-5311', 1, 24), ('STARLINK-5311', 1, 25), ('STARLINK-30552', 4, 26), ('STARLINK-30552', 4, 27), ('STARLINK-3749', 23, 28), ('STARLINK-3749', 23, 29), ('STARLINK-32191', 8, 30), ('STARLINK-32191', 8, 31), ('STARLINK-33558', 16, 32), ('STARLINK-33558', 16, 33)]",22,33,True,2302.494800710521
13,"[('STARLINK-11520 [DTC]', 17, 22), ('STARLINK-11520 [DTC]', 17, 23), ('STARLINK-5311', 16, 24), ('STARLINK-5311', 16, 25), ('STARLINK-31483', 1, 26), ('STARLINK-31483', 1, 27), ('STARLINK-3749', 8, 28), ('STARLINK-3749', 8, 29), ('STARLINK-32191', 17, 30), ('STARLINK-32191', 17, 31), ('STARLINK-5195', 17, 32), ('STARLINK-5195', 17, 33)]",22,33,True,2204.9452861521577
14,"[('STARLINK-11520 [DTC]', 18, 22), ('STARLINK-11520 [DTC]', 18, 23), ('STARLINK-5311', 18, 24), ('STARLINK-5311', 18, 25), ('STARLINK-31483', 10, 26), ('STARLINK-31483', 10, 27), ('STARLINK-31483', 8, 28), ('STARLINK-5287', 1, 29), ('STARLINK-5287', 1, 30), ('STARLINK-5176', 13, 31), ('STARLINK-5176', 13, 32), ('STARLINK-30300', 5, 33)]",22,33,True,2073.8910801380885
