id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG0,False,7,8,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG1,False,15,19,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG2,True,5,15,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG3,False,32,33,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG4,False,34,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG5,False,37,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG6,False,27,33,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG7,False,21,23,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG8,False,24,26,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG9,False,38,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG10,False,29,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG11,False,36,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG12,False,2,6,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG13,True,6,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG14,False,10,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG15,False,10,19,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG16,False,35,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG17,False,20,21,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG18,False,2,8,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG19,False,36,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG20,False,31,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG21,False,16,19,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG22,False,35,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG23,True,8,17,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG24,False,27,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG25,False,35,36,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG26,False,7,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG27,False,27,30,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG28,False,16,25,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG29,False,19,28,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG30,False,34,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG31,False,7,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG32,False,3,7,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG33,False,31,33,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG34,False,8,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG35,False,34,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG36,False,23,31,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG37,False,14,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG38,False,37,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG39,False,4,5,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG40,False,4,5,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG41,False,4,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG42,False,36,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG43,False,12,14,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG44,False,27,33,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG45,False,29,30,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG46,False,3,10,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG47,True,12,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG48,False,27,30,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG49,False,15,17,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG50,False,6,7,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG51,False,34,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG52,False,15,18,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG53,True,13,20,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG54,False,29,34,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG55,False,35,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG56,False,13,14,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG57,False,20,21,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG58,False,37,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG59,False,32,34,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG60,False,4,14,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG61,False,39,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG62,False,37,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG63,False,20,24,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG64,True,8,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG65,False,4,5,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG66,False,39,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG67,False,34,36,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG68,True,8,14,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG69,False,23,28,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG70,False,28,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG71,False,35,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG72,False,8,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG73,False,35,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG74,False,38,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG75,False,13,18,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG76,False,3,5,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG77,False,2,3,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG78,False,8,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG79,False,35,36,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG80,False,4,7,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG81,False,23,33,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG82,False,23,24,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG83,False,13,17,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG84,False,39,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG85,False,15,18,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG86,False,11,17,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG87,False,17,20,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG88,False,24,25,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG89,False,14,18,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG90,False,14,18,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG91,False,12,19,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG92,False,22,31,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG93,False,7,12,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG94,False,2,4,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG95,False,22,28,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG96,False,12,17,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG97,False,33,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG98,False,4,10,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG99,False,7,12,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG100,False,26,32,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG101,False,12,19,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG102,False,0,5,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG103,False,27,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG104,True,13,22,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG105,False,32,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG106,True,14,18,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG107,False,15,23,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG108,False,36,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG109,False,25,29,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG110,False,27,31,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG111,False,33,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG112,False,7,15,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG113,False,39,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG114,False,35,39,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG115,False,16,20,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG116,False,15,20,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG117,False,18,22,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG118,False,20,29,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG119,True,14,21,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG120,False,26,33,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG121,False,3,7,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG122,False,37,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG123,False,0,6,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG124,False,26,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG125,False,31,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG126,False,27,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG127,False,25,28,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG128,False,39,40,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG129,False,25,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG130,True,8,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG131,False,29,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG132,False,24,29,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG133,False,30,31,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG134,False,34,35,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG135,False,14,16,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG136,False,2,3,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG137,False,12,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG138,False,9,13,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG139,False,36,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG140,False,23,26,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG141,False,10,15,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG142,False,24,31,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG143,False,4,14,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG144,False,36,37,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
BG145,False,34,38,hungarian_W3_users100_alpha0.75,0,stick_until_invisible,2025-09-13T16:55:29
