user_id,time,sat,channel,data_rate
80,0,STARLINK-31858,0,256.5950597279211
80,1,STARLINK-31858,0,256.5950597279211
80,2,STARLINK-31858,0,256.5950597279211
80,3,STARLINK-31858,0,256.5950597279211
81,0,STARLINK-31858,1,256.5950597279211
81,1,STARLINK-31858,1,256.5950597279211
81,2,STARLINK-31858,1,256.5950597279211
81,3,STARLINK-31858,1,256.5950597279211
82,0,STARLINK-31858,5,256.5950597279211
82,1,STARLINK-31858,5,256.5950597279211
82,2,STARLINK-31858,5,256.5950597279211
82,3,STARLINK-31858,5,256.5950597279211
83,0,STARLINK-31858,10,256.5950597279211
83,1,STARLINK-31858,10,256.5950597279211
83,2,STARLINK-31858,10,256.5950597279211
83,3,STARLINK-31858,10,256.5950597279211
84,0,STARLINK-31858,11,256.5950597279211
84,1,STARLINK-31858,11,256.5950597279211
84,2,STARLINK-31858,11,256.5950597279211
84,3,STARLINK-31858,11,256.5950597279211
80,4,STARLINK-34163,1,224.29371227179288
80,5,STARLINK-34163,1,224.29371227179288
80,6,STARLINK-34163,1,224.29371227179288
80,7,STARLINK-34163,1,224.29371227179288
81,4,STARLINK-34163,3,224.29371227179288
81,5,STARLINK-34163,3,224.29371227179288
81,6,STARLINK-34163,3,224.29371227179288
81,7,STARLINK-34163,3,224.29371227179288
82,4,STARLINK-34163,5,224.29371227179288
82,5,STARLINK-34163,5,224.29371227179288
82,6,STARLINK-34163,5,224.29371227179288
82,7,STARLINK-34163,5,224.29371227179288
83,4,STARLINK-34163,6,224.29371227179288
83,5,STARLINK-34163,6,224.29371227179288
83,6,STARLINK-34163,6,224.29371227179288
83,7,STARLINK-34163,6,224.29371227179288
84,4,STARLINK-34163,10,224.29371227179288
84,5,STARLINK-34163,10,224.29371227179288
84,6,STARLINK-34163,10,224.29371227179288
84,7,STARLINK-34163,10,224.29371227179288
80,8,STARLINK-34165,13,154.61990877027114
80,9,STARLINK-34165,13,154.61990877027114
80,10,STARLINK-34165,13,154.61990877027114
80,11,STARLINK-34165,13,154.61990877027114
81,8,STARLINK-34165,14,154.61990877027114
81,9,STARLINK-34165,14,154.61990877027114
81,10,STARLINK-34165,14,154.61990877027114
81,11,STARLINK-34165,14,154.61990877027114
82,8,STARLINK-34165,18,154.61990877027114
82,9,STARLINK-34165,18,154.61990877027114
82,10,STARLINK-34165,18,154.61990877027114
82,11,STARLINK-34165,18,154.61990877027114
83,8,STARLINK-34165,20,154.61990877027114
83,9,STARLINK-34165,20,154.61990877027114
83,10,STARLINK-34165,20,154.61990877027114
