id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG0,False,7,8,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG1,False,15,19,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG2,False,5,15,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG3,False,32,33,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG4,False,34,38,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG5,False,37,39,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG6,False,27,33,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG7,False,21,23,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG8,False,24,26,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG9,False,38,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG10,False,29,38,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG11,False,36,38,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG12,False,2,6,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG13,True,6,13,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG14,False,10,16,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG15,True,10,19,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG16,False,35,37,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG17,False,20,21,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG18,False,2,8,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG19,False,36,39,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG20,False,31,38,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG21,False,16,19,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG22,False,35,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG23,False,8,17,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG24,False,27,37,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG25,False,35,36,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG26,False,7,16,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG27,False,27,30,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG28,False,16,25,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG29,False,19,28,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG30,False,34,39,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG31,False,7,13,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG32,False,3,7,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG33,False,31,33,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG34,False,8,16,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG35,False,34,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG36,False,23,31,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG37,False,14,16,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG38,False,37,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG39,False,4,5,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG40,False,4,5,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG41,False,4,13,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG42,False,36,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG43,False,12,14,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG44,False,27,33,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG45,False,29,30,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG46,False,3,10,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG47,False,12,16,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG48,False,27,30,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG49,False,15,17,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG50,False,6,7,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG51,False,34,35,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG52,False,15,18,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG53,False,13,20,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG54,False,29,34,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG55,False,35,39,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG56,False,13,14,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG57,False,20,21,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG58,False,37,39,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG59,False,32,34,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG60,False,4,14,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG61,False,39,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG62,False,37,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG63,False,20,24,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG64,True,8,13,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG65,False,4,5,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG66,False,39,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG67,False,34,36,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG68,True,8,14,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG69,False,23,28,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG70,False,28,37,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG71,False,35,38,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG72,False,8,13,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG73,False,35,37,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG74,False,38,39,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG75,False,13,18,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG76,False,3,5,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG77,False,2,3,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG78,False,8,13,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG79,False,35,36,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG80,False,4,7,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG81,False,23,33,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG82,False,23,24,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG83,False,13,17,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG84,False,39,40,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG85,False,15,18,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG86,False,11,17,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG87,False,17,20,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG88,False,24,25,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG89,False,14,18,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
BG90,False,14,18,mslb_W2_users100_alpha1,0,stick_until_invisible,2025-09-14T20:04:36
