status,file,method,users,W,alpha,variance,rows,time_slots,sats,has_time,has_load,file_mtime
used,dp_W3_users100_alpha1_load_by_time.csv,dp,100,3,1.0,12.052632040228877,782,40,153,True,True,2025-09-05 00:12:10
used,dp_W3_users150_alpha1_load_by_time.csv,dp,150,3,1.0,20.464033867696738,782,40,153,True,True,2025-09-06 16:05:08
used,dp_W3_users200_alpha1_load_by_time.csv,dp,200,3,1.0,20.491005754654445,782,40,153,True,True,2025-09-06 02:08:01
used,dp_W3_users250_alpha1_load_by_time.csv,dp,250,3,1.0,26.524990386836823,782,40,153,True,True,2025-09-06 03:18:34
used,dp_W3_users300_alpha1_load_by_time.csv,dp,300,3,1.0,40.27144319124545,782,40,153,True,True,2025-09-06 03:01:24
used,ga_W3_users100_alpha1_load_by_time.csv,ga,100,3,1.0,12.893241570806135,782,40,153,True,True,2025-09-05 01:03:02
used,ga_W3_users150_alpha1_load_by_time.csv,ga,150,3,1.0,19.623513390580758,782,40,153,True,True,2025-09-06 15:20:29
used,ga_W3_users200_alpha1_load_by_time.csv,ga,200,3,1.0,28.296966621464936,782,40,153,True,True,2025-09-06 03:51:48
used,ga_W3_users250_alpha1_load_by_time.csv,ga,250,3,1.0,36.03429378498188,782,40,153,True,True,2025-09-06 04:22:31
used,ga_W3_users300_alpha1_load_by_time.csv,ga,300,3,1.0,39.07983943945426,782,40,153,True,True,2025-09-06 16:03:35
used,greedy_W3_users100_alpha1_load_by_time.csv,greedy,100,3,1.0,13.006607594222501,782,40,153,True,True,2025-09-05 00:10:19
used,greedy_W3_users110_alpha1_load_by_time.csv,greedy,110,3,1.0,14.311594585968981,782,40,153,True,True,2025-09-05 23:59:24
used,greedy_W3_users120_alpha1_load_by_time.csv,greedy,120,3,1.0,16.2450502426427,782,40,153,True,True,2025-09-06 01:14:36
used,greedy_W3_users125_alpha1_load_by_time.csv,greedy,125,3,1.0,16.504566125044942,782,40,153,True,True,2025-09-05 22:59:56
used,greedy_W3_users150_alpha1_load_by_time.csv,greedy,150,3,1.0,22.756201269133978,782,40,153,True,True,2025-09-06 02:42:37
used,greedy_W3_users200_alpha1_load_by_time.csv,greedy,200,3,1.0,29.87045761591857,782,40,153,True,True,2025-09-06 02:06:21
used,greedy_W3_users250_alpha1_load_by_time.csv,greedy,250,3,1.0,39.52498368836094,782,40,153,True,True,2025-09-06 03:15:14
used,greedy_W3_users300_alpha1_load_by_time.csv,greedy,300,3,1.0,51.42076751762424,782,40,153,True,True,2025-09-06 02:58:00
used,hungarian_W3_users100_alpha1_load_by_time.csv,hungarian,100,3,1.0,13.4313658511516,782,40,153,True,True,2025-09-11 01:10:57
used,hungarian_W3_users150_alpha1_load_by_time.csv,hungarian,150,3,1.0,24.299547909352473,782,40,153,True,True,2025-09-11 01:17:08
used,hungarian_W3_users200_alpha1_load_by_time.csv,hungarian,200,3,1.0,31.044570802766213,782,40,153,True,True,2025-09-11 01:20:00
used,hungarian_W3_users250_alpha1_load_by_time.csv,hungarian,250,3,1.0,39.65476079956637,782,40,153,True,True,2025-09-11 01:22:22
used,hungarian_W3_users300_alpha1_load_by_time.csv,hungarian,300,3,1.0,50.28303360692671,782,40,153,True,True,2025-09-11 01:25:29
used,mslb_W3_users100_alpha1_load_by_time.csv,mslb,100,3,1.0,11.818960853109834,782,40,153,True,True,2025-09-05 00:38:17
used,mslb_W3_users150_alpha1_load_by_time.csv,mslb,150,3,1.0,24.063641519558757,782,40,153,True,True,2025-09-06 14:35:58
used,mslb_W3_users200_alpha1_load_by_time.csv,mslb,200,3,1.0,29.5997949090954,782,40,153,True,True,2025-09-06 03:24:14
used,mslb_W3_users250_alpha1_load_by_time.csv,mslb,250,3,1.0,30.849117640486487,782,40,153,True,True,2025-09-06 15:01:30
used,mslb_W3_users300_alpha1_load_by_time.csv,mslb,300,3,1.0,47.90660805652526,782,40,153,True,True,2025-09-06 15:05:34
